緣份,內容
傷官 -但是他,但是，他也是個說話常常帶刺，一針見血，說話很常傷害到你，也不服輸，做人太過自信，帶點任性，傲慢，處事圓融性低。他會把自己的標準都套在你所上，完全不包容你，做不好馬上唸你，嚴重會一直吹毛求疵，有時候沒控制好情緒，太氣會講一些人身攻擊的話。你都受不了，覺得自己一文不值，或是越來越自卑。期下來，你的自信心會被他扁得越來越低，所以才會愛的卑微。明明自己想做到好，但是卻沒被他欣賞過。
正財 -他欣賞,他欣賞你有顧家的一面，會為家裡準備妥當，他也欣賞你對金錢的運用有規劃，該花就花，奢侈的物質生活，你可能不太追求，你清楚明白生活的需求，總讓人安心。如果，他決定把自己交給你照顧，可能他就已經對你產生很大的信任感。他會覺得你對於家庭的觀念是符合他的要求，如果你是一個顧家的人，是絕對加分，讓他有家的感覺。
正財 -他希望,他希望你為人要再節儉些，消費多以生活實用為主，重視他的家人更好，有家庭責任更好，會有賢妻良母的感覺更好，可以管理打理整理家裡狀況會更好。所以，他會顯得對你比較斤斤計較，不太願意花錢在你身上，因為他覺得自己努力賺的錢，不值得花在你身上。相反，他對你比較大方，這也代表你絕對值得讓他花錢疼愛你的。
正財 -但是你,但是，你有時候太過重視金錢，顯得吝嗇，斤斤計較。有時候對於錢的事情變了個態度，要你花錢卻要談條件，實在讓他不舒服。凡事思前想後，不果斷不決斷，有時候太拘泥於瑣碎事情，也沒辦法馬上隨機應變處理事情。其實也還蠻懶惰，缺乏進取心做事欠缺魄力。
正財 -你欣賞,你欣賞他為人節儉，講求實用實際，會覺得要有一份穩定收入，為人保守、正派，會言行一致，喜歡踏實而安定的生。他為人較樂觀，只要沒有談到錢的問題，都沒問題，容易滿足現況。他如果願意花錢，代表他是重視你的。不管是享受生活還是物質上的禮物，你都會覺得他這是愛你的表現。他也會有家庭責任感，重視家人，所以他一旦成家後，就會比較愛家。但是，如果他沒有表現出這些行為，就要注意他是不是覺得把心思花在你身上不值得。
正財 -你希望,你會希望他可以多花錢在你身上，因為你覺得他願意花錢，代表他是重視你的。不管是享受生活還是物質上的禮物，你都會覺得他這是愛你的表現。你會要求他生活要踏實地過。如果，他願意把錢投資在你身上，讓你變得更好，你會更滿足。你希望他能更給你一種温暖的感覺，更樂觀一些，能夠幫你負擔生活會更加分，對你能更認真負責會更好，也需要多一點家庭觀念。
正財 -但是他,但是，他有時候太過重視金錢，顯得吝嗇，斤斤計較。有時候談錢的事情變了個態度，要他花錢卻要談條件，實在讓你不舒服。凡事思前想後，不果斷不決斷，有時候太拘泥於瑣碎事情，也沒辦法馬上隨機應變處理事情。其實也還蠻懶惰，缺乏進取心，做事欠缺魄力。
偏財 -他欣賞,他喜歡你花錢慷慨大方也不吝嗇，屬於花錢買開心，喜歡有素感的生活，生活多變化。他也喜歡你願意花錢在他身上，也願意買禮物送他。同時，也欣賞愛賺錢、賺快錢的態度，尤其是如果你做生意或做老闆，他會很支持。
偏財 -他希望,他希望你做事能隨機應變，做事能更彈性一些。做人慷慨大方更好，你大方花錢在他身上他會很開心，交往期間能一起享受玩樂更好，坦白來說，就是吃喝玩樂他安排你花錢，他就最開心。他希望你的付出，都不要跟他談條件，等價交換不是大方，是討價還價。如果你懂得投資自己，很會賺錢會更加分。
偏財 -但是你,但是，你會顯得比較坦率，對錢不執著，有浪費的傾向，生活也不穩定，常常做超出能力範圍之外的事情，而被他責備。這樣，你的花錢習慣，他看在眼裡，心裡是不爽的，他努力賺回來的錢都被你花去了。你做事也沒有計劃，多變，做事三分鐘熱度，給他一種做事不真誠的態度。
偏財 -你欣賞,你欣賞他待人處事都比較樂觀，跟他在一起好像都沒煩腦。他對你大方慷慨，願意花錢在你身上，只要你讓他開心，他就會很捨得花，捨得買。而且，他不會虧待你，也只要你開心，他就會給你最好住的吃的用的。但是，如果他沒有表現出這些行為，就要注意他是不是覺得花在你身上不值得。
偏財 -你希望,你希望他做事能隨機應變，做事能更彈性一些，更懂得人情世故，再樂觀一些。做人慷慨大方更好，他大方花錢在你身上你會很開心，交往期間能一起及時享受玩樂更好，你想要的，他都買給你，你會很滿足。你希望他的付出是真心真意的，不再跟你談條件或討價還價。懂得財富自由的概念會更好，賺錢能力要更強。
偏財 -但是他,但是，他反而個性顯得比較奢侈，行動之前也比較不會多方考慮，不太有長遠的計劃，沒有實際的行動，也有浪費的習性，給人一種做事不真誠的態度，有時候會慣性說謊。而且，他異性緣很好，容易跟異性有說有笑不忌諱，不懂得跟異性保持距離，讓你也比較沒有安全感。他也喜歡跟異性聊天，也沒在避嫌，所以你也好困擾，好生氣。
天干,內容
甲 -他欣賞,他欣賞你有向心力，會想在工作上有更大的發展，做事會有自己的計劃，能札根於基礎上，為人正直也不易放棄，還能體諒別人。同時，也有仁慈心軟的一面，拜託你做事，你都願意去做。
甲 -他希望,他希望你能夠在事業上有目光長遠的發展或想法，做事有向上心一些，意志堅強一些，體諒別人多一些。
甲 -但是你,但是，你比較死愛面子，頑固不知妥協變通，欠缺敏捷性，會過於主觀，下定決心後就死不悔改，也會容易干涉他的事情。
甲 -你欣賞,你欣賞他有向心力，會想在工作上有更大的發展，做事會有自己的計劃，能札根於基礎上，為人正直也不易放棄，還能體諒別人。同時，也有仁慈心軟的一面，拜託他做事，他都願意去做。
甲 -你希望,你希望他能像一棵大樹保護著你，做事有向上心一些，意志堅強一些，體諒別人多一些。
甲 -但是他,但是，他比較死愛面子，頑固不知妥協變通，欠缺敏捷性，會過於主觀，下定決心後就死不悔改。他常認為自己是對的，所以，他沒有想要改變自己，對於他的個性，你覺得他根本死腦筋。
乙 -他欣賞,他欣賞你有柔順温和的一面，觀察力敏銳，好像總能察覺他的需求或想法。同時，你的EQ高，讓他覺得安心且舒服。而且，相處時你也有很好的協調性，可以建立互相遷就包容的關係。他欣賞你為人務實不浮誇，能多方面考慮，也就是三思而後行。
乙 -他希望,他希望你對他多展現柔順温和的一面，溝通上腦筋再快一點，高EQ會更好，一起處理事時需要你協調配合會更好。情緒再平穩一些會更好，懂得收㪘脾氣會更好，學會忍耐，也要學會給他面子。
乙 -但是你,但是，你為人怯懦，依賴心強，無法承擔大事，會常常因為事與願違而自尋煩惱，會對眼前面前的問題失去自信無法堅持。也會容易違背自己的心意和周遭的人妥協，責任心差了一些，經常經不起困難而改變心意。就是會用最簡單的方式去解決問題，忽略了其他因素。
乙 -你欣賞,你欣賞他比較柔順温和，腦筋快，判斷力敏銳，EQ高，處事有很好的協調性，做人也務實，能多方面考慮，也就是三思而後行。
乙 -你希望,你希望他對你再柔順温和多一些，處理事情的腦筋再快一點，吵架時能控制EQ會更好，做人也要再務實一點，跟你生活溝通協調更好一些。情緒再平穩一些會更好，懂得收㪘脾氣會更好，學會忍耐一些，學會給你面子。
乙 -但是他,但是，他為人怯懦，依賴心強，無法承擔大事，會常常因為事與願違而自尋煩惱，會對眼前面前的問題失去自信無法堅持。也會容易違背自己的心意和周遭的人妥協，責任心差了一些，經常經不起困難而改變心意。就是會用最簡單的方式去解決問題，忽略了其他因素。
丙 -他欣賞,他喜歡你會給他温暖，總是熱情地面對你，會感受到他有在照顧你，你的事情他也會表現得很重視。尤其是，你在一些場合上比較引人注目，也比較不計較，積極地著手幫忙，不拘泥小事，想法明確，不鑽牛角尖，他很欣賞你有這一面。
丙 -他希望,他也希望你能夠熱情積極多一些，爽朗大方多一些，不要太計較拘泥小事，不要轉牛角尖更好。
丙 -但是你,但是，你容易表現得急躁，很想要一個答案，有一點問題都斃不住，缺乏耐心，也比較自以為是，性情比較起伏，做事無法持久。心急追問過度，也會讓他反感，甚至要逃避你，不想看到你。
丙 -你欣賞,你喜歡他的熱情個性，尤其對人好客積極，爽朗大方，待人親切，不會拘泥小事，也坦率。但是他也比較衝動、性子急。
丙 -你希望,你希望他能夠對你熱情積極多一些，爽朗大方多一些，不要太計較拘泥小事，不要轉牛角尖更好。
丙 -但是他,但是，他的熱情較引人注目，常會在不自覺流露出熱情，所以很可能引發誤會，因此產生情感糾葛。有時候，也會有太過熱烈的言行而給自己招來麻煩。在一開始對待愛情，可能會有一股熱，急躁及衝動，所以雖然爆發力強，但是後勁及耐力卻是不夠的，所以只會常常講夢想，做什麼事都常發生三分鐘熱度。對待感情，很有主見，主觀過強也容易自以為是。
丁 -他欣賞,他欣賞你熱心助人，在感情上會有燃燒自我不斷付出的傾向，也有照亮別人的熱心。你外表沉穩，但實際內敏感。你也注重家人，會照顧後輩下屬，而且有禮貌。
丁 -他希望,他希望你能給他一種温暖的感覺，展現友善禮貌多一些，喜歡幫助別人會更加分，他也需要你讓他做個有光茫的人，做事能更認真負責會更好，也需要多一點家庭觀念。
丁 -但是你,但是，你會顯得比較保守，悶燒型，温度還不夠強的時候，會看不出你的表現，對一件事情會考慮很久，思慮深遠，行事謹慎。他根本不知道你在醖釀甚麼，他也認為你非常的被動，沒自信心。同時，你內心的敏感，容易讓他覺得你很脆弱，不表達又在那邊悲傷，讓他實在不知道要怎麼做。
丁 -你欣賞,你會喜歡他給你一種温暖的感覺，你會被他彬彬有禮的氣質給吸引住，他對你的事都比較熱心，也有種很上心的感覺，同時你喜歡他散發著一種魅力光茫。跟他共事，你發現他對份內事處理得認真及負責任。他的家庭觀念會讓你對未來抱有幻想及期待。
丁 -你希望,你希望他能更給人一種温暖的感覺，更有禮貌，喜歡幫助別人會更加分，能有照亮別人的一面會更好，做事能更認真負責會更好，也需要多一點家庭觀念。
丁 -但是他,但是，他卻是個悶燒型，温度還不夠的時候會看不出來的表現，但是他一旦認定了就會全力以赴。他也昰個能體諒對方的人，但是不太會講真心話的人。所以，你可以看他對你的表現，有沒有很認真，有沒有很付出，還是還在悶燒中？
戊 -他欣賞,他欣賞你顯得比較豁達樂天，有包容心，嚴謹耿直，不會巧言修飾，做事也比較慎重緩慢，做事堅持到底。你有一種個性的穩定度，給他有一種安全感，你是可靠的，所以他跟你在一起會感到安心。但是，你會比較以自我為中心，主觀性強，喜怒不形於色，欠缺通融性，不會去改變自己的想法或行為，做事也比較被動，在相處上比較笨拙，不會主動去計劃一些浪漫的事。
戊 -他希望,他希望你有成熟穩重感，豁達一些，開朗一些，做人耿直，樂天也不善修飾，做事也帶條理也有計劃。他希望你是他的靠山，做事能靠得住你，能夠拜託你，你做事他放心更好。
戊 -但是你,但是，你會比較以自我為中心，主觀性強，喜怒不形於色，欠缺通融性，不會去改變自己的想法或行為，做事也比較被動，在相處上比較笨拙，不會主動去計劃一些浪漫的事。
戊 -你欣賞,你欣賞他有成熟穩重感，像一座大山給你靠著，懂得包容忍耐，有安定冷靜的感覺，也講求信用，能給你足夠的安全感。做人耿直，樂天也不善修飾，做事也帶條理也有計劃。
戊 -你希望,你希望他豁達一些，開朗一些，做個堅持到底的人，你也期待他能成為你的靠山。希望他能有一種安定冷靜的感覺，懂得包容忍耐，講求信用，能給你安全感。
戊 -但是他,但是，他會比較以自我為中心，主觀性強，喜怒不形於色，欠缺通融性，不會去改變自己的想法或行為，做事也比較被動，愛情路上比較笨拙，不會主動去計劃一些浪漫的事。
己 -他欣賞,他欣賞你有豁達樂天的一面，對他也有包容心，處事嚴謹慎重，對於感情事不會巧言修飾，欣賞你對感情堅持到底。同時，你有一種個性的穩定度，給他有一種安全感，你是可靠的，所以他跟你在一起會感到安心。但是，你會比較以自我為中心，主觀性強，喜怒不形於色，欠缺通融性，不會去改變自己的想法或行為，做事也比較被動，在相處上比較笨拙，不會主動去計劃一些浪漫的事。
己 -他希望,他希望你能夠多展現穩重的一面，對他的語氣再温柔一些，對於他的錯誤或誤會再寬容多一些，能夠更懂得照顧他的感受或生活會更讓他開心，對於他的需求或他的生活再用心一些。
己 -但是你,但是，你顯得比較保守，比較沒有主見，容易被左右，耳根軟，容易茫然失惜，容易消極不理性，別人一句話就妥協。而且，人性格異常固執，很難改變你所認定的事實。你也不太會說甜言蜜語，也不活潑，且又不主動，所以跟你談戀愛，他會覺得無趣。
己 -你欣賞,你欣賞他為人敦厚，你會被他的善良及踏實穩重吸引，而且他的安靜柔順讓你感到安心，對你也顯得寬容，會從細節裡悉心照顧你的所有，對於你的事情也上心，是個會默默耕耘的人。
己 -你希望,你希望他能夠多展現穩重的一面，對你的語氣再温柔一些，對於你的錯誤或誤會再寬容多一些，能夠更懂得照顧你的感受或生活會更讓你開心，對於你的需求或你的生活再用心一些。
己 -但是他,但是，他顯得比較保守，比較沒有主見，容易被左右，耳根軟，容易茫然失惜，容易消極不理性，別人一句話就妥協。而且，人性格異常固執，很難改變他所認定的事實。
庚 -他欣賞,他喜歡你的內心，為人果斷，直來直往，不喜歡轉彎抹角，喜歡聽重點。個性倔強，遇強則強，自尊心更強，會積極去行動，去找方法去達成目標，多於花時間去煩惱，重視朋友跟重義氣，會為不公平的事情打抱不平。
庚 -他希望,他希望你能夠更果斷一些，乾脆，能積極行動會更好，說話不要轉彎抹角，講話要講重點。做人活得更有自尊一些，意志力更堅強一些。希望你能夠獨立一些，像個強者一樣會更好，任何事都自己處理，不要給他添麻煩，自動自覺去做自己該做的事情更好。
庚 -但是你,但是，你都會容易因為不喜歡而毫不留情地想批評，說話太直接，不會轉彎抹角，有時候會講出不適合場面的說話，而不自知。你也容易鐵齒，放棄就放棄，再喜歡也會愛面子而不要了。，所以也讓他覺得你不好相處，他也不敢多說，就是怕你一句反對他，而你不覺得是個問題，旁人都覺得你的第一反應不好相處。
庚 -你欣賞,你喜歡他乾脆果斷做決定，做事意志力堅強又不服輸，面對困難遇強則強，會積極去行動及解決問題，也會積極去找方法去達成目標多於花時間去煩惱，重視朋友跟重義氣，如果你受委屈了，或是會為你的事情而打抱不平。
庚 -你希望,你希望他對你心思細膩多一些，做事更有主見，反應要快一些。能夠觀察到你的各方面需求，對你更細心體貼和親切友善更好，帶他出門他要適應力更強一些，面對人際關係要更八面玲瓏。你希望他多打扮自己，外表乾淨整齊會加分。
庚 -但是他,"但是，他都會容易因為不喜歡而毫不留情地想批評，說話太直接，不會轉彎抹角，有時候會講出不適合場面的說話，而不自知。也容易鐵齒，放棄就放棄，再喜歡也會愛面子而不要了。他吃軟不吃硬，寧願兩敗俱傷也不服軟，如果長期沒給下台階，那你們就真的不適合繼續在一起。你們會冷戰很久，甚至互不相讓，從此感情冷淡。
 
 所以，一旦發現他變得說話難聽，就要注意他是不是對你冷淡了、或變淡了，讓他不喜歡了。"
辛 -他欣賞,他欣賞你比較適應力極強，心思細膩，做事態度干脆果斷，對各方面都很注意，為人親切，樂於助人，做人也八面玲瓏。雖然有時候會雞婆，會碎念，但是你自尊心強，也討厭丟臉，有時候帶有任性，堅持自己而不退讓。以上，他也能接受及包容。
辛 -他希望,他希望你對他心思細膩多一些，做事更有主見，反應要快一些。能夠觀察到他的各方面需求，對他更細心體貼和親切友善更好，帶你出門你要適應力更強一些，面對人際關係要更八面玲瓏。他希望你多打扮自己，外表鮮亮麗會加分，也希望你培養及表現更有氣質。
辛 -但是你,但是，你有時候自尊心強，表面妥協，也不甘情願被折服，太任性，堅持自己而不退讓。完美主義明顯，也帶點強迫症。有時候，你熱心過度，反而造成他的困擾。爭吵時，冷戰可以將時間拉得很長很長，會有得理不饒人的架勢。所以，你不改掉這習性，再愛你的人也受不了長期冷戰，冷戰的期間也有機會讓別人趁虛而入，他跟別人曖昧了，你還在那邊冷戰。
辛 -你欣賞,你欣賞他對你有心思細膩的一面，做事態度也干脆果斷，對各方面都很會觀察及注意灓節，對你的態度很親切，平常樂於助人，處理人際關係也表現得八面玲瓏，讓你覺得他蠻可靠，或是安心。
辛 -你希望,你希望他對你更心思細膩多一些，能夠觀察到你的各方面需求，對你體貼親切更好，在處理人際關係時，可以更八面玲瓏一些，會讓你覺得他其實可以是個可靠的人，或是保護你的人。
辛 -但是他,但是，他有時候自尊心強，表面妥協，也不甘情願被折服，帶有任性，堅持自己而不退讓。完美主義明顯，也帶點強迫症。爭吵時，冷戰可以將時間拉得很長很長，會有得理不饒人的架勢。
壬 -他欣賞,他欣賞你有外向的一面，活潑，帶點任性，感情豐富。社交能力強，有口才，主動積極，能適時表現自己，到處交朋友，待人寬容。
壬 -他希望,他希望你能夠更寬容一些，圓融一些，樂觀一些，對任何事都能熱情參與，再多交一些朋友會更好。
壬 -但是你,但是，你有時候容易虎頭蛇尾，會有不切實際的想法，雖然做人圓融但是也會任性，容易有怠惰而依賴他人的習慣，對事容易不堅持，對異性容易付出心思過多，沒有節制，讓他容易吃醋。
壬 -你欣賞,你會欣賞他做人寬容，不執著，樂觀，喜歡幫助別人，懂得社交。他陪伴你待在人群裡，總是可以給你安全感。而且，他跟人溝通也比較風趣幽默，帶他出場也不會丟臉，他自得其樂。
壬 -你希望,你也會希望他能夠更寬容一些，圓融一些，樂觀一些，對任何事都能熱情參與，再多交一些朋友會更好。
壬 -但是他,但是，他有時候容易虎頭蛇尾，會有不切實際的想法，雖然做人圓融但是也會任性，容易有怠惰而依賴他人的習慣，對事容易不堅持，對異性容易付出心思過多，沒有節制，讓你容易吃醋。
癸 -他欣賞,他欣賞你的內向個性，做事勤奮又很努力，為人正直踏實。你的重感情重道德也讓他感到安心。而且，你對他情感細膩，更豐富了你們的感情生活，他也喜歡跟你一起的生活情趣。
癸 -他希望,他希望你對他可以多一點同情心，一起處理事情時要冷靜清醒一些，對他的態度再溫和一些，對他的情感再細膩一些，也希望跟你在一起可以多一些生活情趣。
癸 -但是你,可是，你對他的態度容易拘泥小事，容易悲觀，遇到問題則會都往壞處想，解決問題也欠缺通融性。你太在意小細節，跟他溝通也常鑽牛角尖，也比較重視沒意義的事情上。所以你在感情上會顯得比較脆弱負面，優柔寡斷，活在自己的世界裡，喜歡幻想美好的愛情，所以你會有自己理想愛情的一套做法，你的期待對他來說有點不切實際，他不知道怎麼實現去滿足你。
癸 -你欣賞,你欣賞他內向，勤奮又很努力，正直踏實。你重感情重道德，而且，你的情感細膩，感情豐富，也重視生活情趣。
癸 -你希望,你希望他能更有同情心，處理事情要冷靜清醒一些，再溫和一些。面對愛情時，對你的情感再細膩一些，也希望能多重生活情趣多一些。
癸 -但是他,可是，他顯得比較拘泥小事，容易悲觀，凡事都往壞處想，欠缺通融性。他很在意小細節，常鑽牛角尖，也比較重視沒意義的事情上。所以他在感情上會顯得比較脆弱負面，優柔寡斷，活在自己的世界裡，喜歡幻想美好的愛情，所以他會有自己理想愛情的一套做法。
結尾,內容
他喜歡你沒有,整體來說他喜歡的特質你也都沒有的，所以，他對你沒有完全愛上，也是情有可原。也所以，他在你身上也只看到缺點，也把缺點放大，沒有把優點拿來欣賞。久而久之，就會失去新鮮感，產生厭惡感，一時運滯就容易做錯事，萬一出軌也不回頭。
你喜歡他沒有,整體來說你喜歡的特質他也都沒有的，所以，你對他沒有完全愛上，也是情有可原。也所以，你在他身上也只看到缺點，也把缺點放大，沒有把優點拿來欣賞。久而久之，就會失去新鮮感，產生厭惡感，分開也不想回頭，只是被「相處久了不捨得」。
彼此也都沒有,整體來說某些特質你們彼此也都沒有的，所以，你們對彼此沒有完全愛上，也是情有可原。也所以，你們在彼此身上也只看到缺點，也把缺點放大，沒有把優點拿來欣賞。久而久之，就會失去新鮮感，產生厭惡感，剛好磁場不好，就容易說散就散。
請常常表現,請常常表現他欣賞你的特質，基本上要留住他，吸引他靠近你，是沒問題的。撇除其他相處問題，請多讓他多愛你一些，就是如剛剛所說，多表現自己原本有的特質，他自然也會越愛你越深。同時，也要縮小自己的缺點，他其實都有看在眼內，不爽都是累積的。
你們的需求都一樣,你們的需求都一樣的，只是你們都沒有先踏出第一步去滿足對方，更無奈的是，你們也不知道如何把「期望」變成「行動」，才會發生「你們在往外求，卻沒有得到任何回應」。也是代表說，你們都沒有以上做出的特質，所以你們就算知道，也做不到位。
成為「他喜歡的人」,但是，你可以選擇成為「他喜歡的人」還是「做我自己」，當然各有各的優缺點，你不能為了他而完全成為自己不喜歡的模樣。
攻略,內容
正官,"🌹如何讓他更愛你？⬇️
 
 📍關鍵字：聽話、守規矩、比他厲害、責任
 📍渴望的愛情：一切在他掌握之中，愛情就是一種責任，怎麼負責任，就要怎麼守規矩，同時，他也要愛情的主控權，他開口要就要，不要就不要，不要為難他，也不要強迫他。
 
 📍如何做：要嘛比他強，要嘛你聽話。例如，男生方面，差別會比較明顯易懂，有一個男生很愛慕上司，其他同事就會覺得人家是強者餒，你hold不住的，但是他就很愛職場強者，特別有魅力，只要你夠厲害他就心甘情願被控制。相反，他已經在職場上就很厲害了，他就會找聽話聽命令的，符合他愛情系統、也要符合他愛情制度的伴侶，滿足他愛情的責任感。
 
 一：《聽話》你喜歡他，就必須對他表現出你的忠誠、可靠、服從。讓他覺得你可控制，說不定他把你考量到他的愛情系統裡。不然就是，比他厲害，你控制他。
 
 二：《符合》他的愛情也是一場制度，追求穩定也是他的愛情目標，所以他心中會有一個屬於他的愛情系統，不允許有錯誤漏洞，發現你error太多，或是發現你不符合他的系統，你就等著被淘汰。同時，他創造這個愛情系統出來，會有一個固定的模版在，所以他一定是有模擬出他想要的情人是長怎麼樣，你必須要套話，然後把自己打扮成裝成那個樣子，很大機會會中喔，因為他不太會變化，他想要那種情人就是那種。
 
 三：《共同目標》剛剛說愛情也是一種責任，他會為愛情負責到底，所以他的正經八百，是會讓你有可以成家立室的安全感。他的愛情目標，也就是交往以結婚為前提。他對你的各種考量，也是會牽涉到家庭，你適不適合當個好老婆，顧不顧家，跟家人相處融不融洽。所以，跟他交往，就要有個覺悟，很大機會會結婚組織家庭。"
七殺,"🌹如何讓他更愛你？⬇️
 
 📍關鍵字：馴服、以柔克剛、奮不顧身、霸氣、挑戰性、刺激感
 📍渴望的愛情：他要的愛情很戲劇化，要嘛轟轟烈烈，要嘛會有犧牲的情節。
 
 📍如何做：先確認他對你的態度，有沒有喜歡你一定感受得到，因為他就是很直接，喜歡討厭都寫在臉上。如果你不是他的菜，他也會很清楚地讓你知道。有機會的話，你就別在那邊胡思亂想，沒機會的話，也可以先放棄了。
 
 一：《刺激感》請你一定要有底氣，自信心，才會讓自己的霸氣展現出來，比他更MAN沒關係，這個表現會讓他覺得很有魅力。要激起他想要征服你的慾望，用盡各種床上的招式，各種妖媚的服裝都能讓他感到無比的激動。如果，你是個乖乖情人，不懂得「小賤貨」的風格，請你也要學習起來，先從情趣睡衣開始，PHONE SEX（遠距離適用網愛），多拍一些性感照片給他，再從中摸索他的喜好。否則，你不學習，他只會找「其他綠茶婊」。
 
 二：《馴服》要先摸清楚他的脾性，知道有什麼不可以碰，有什麼可以多做。在他有所求的時候，順著他做，他要多刺激就有多刺激，他有多好動就多好動，你的重點是要先操累他，再給予他温柔的愛意，這個愛意不是約束他的自由，也不是限制他的行為，而是在他發洩完了，給予擁抱以及陪伴。讓他體悟到愛情，不只是一場煙火，而是一場充滿激情又充滿溫暖的遊戲。
 
 三：《滿足》要盡量地滿足他的大男人大女人主義，讓他充滿勇敢、充滿自信，支持他的理想，陪他面對挑戰。然後在他在外面打拚，碰到瓶頸傷痕纍纍的時候，適當安撫他、安慰他。當他知道你不只是他的情人，更是他的避風港時，他就會把心交到你的手上。"
正印,"🌹如何讓他更愛你？⬇️
 
 📍關鍵字：依靠、依賴、照顧、安心、關心
 📍渴望的愛情：安全感來自於被照顧的安心，愛情裡就是要互相照顧起居飲食，而且也認為愛情的最終模式就是導向家庭生活的模式。所以，他都是傾向於要找一個好老婆的角色，沒辦法接受老婆不顧家，要出去可以、要工作可以，但請先以家庭為重。
 
 📍如何做：好好地照顧他，讓他依賴你，讓他安心，像是把整個世界給了他。
 
 一：《創造讓他依賴的機會》在生活上、工作上，你多幫助，你懂的一定要比較多，就算不懂也要學，長期下去，就會依賴著你。其實他有很多事情都會，但只是他懶得去做，如果你能幫他做，做得比他好，他就會以崇拜的心愛著你，因為除了你，沒有人願意做，沒有人做得比你好，他根本離不開你。
 
 二：《迷惘時給予光明》適當的安慰、適當的給予建議都是有很大的幫助，尤其是迷惘的時候，最需要你的同理心跟同情心，脆弱的心靈是很需要被照顧的。所以，當你發現他好像失落了，一定要馬上去關心，否則你會錯失良機。除了生活的照顧，也要懂得情緒上的照顧，同理心很重要，你可以不懂，但一定要讓他安心地發洩出來，用温柔的語氣建議他，用陪伴的角度幫他走出困境。
 
 三：《工具人》做他的工具人，一定做得很有成就感，因為你追求的人，一定會被你感動。他喜歡你的照顧，喜歡你為他安排一切，他不用動腦動手。在你想命令他的時候，可以請他做簡單又輕易的事情。例如，你幫他辦理登記手續，幫他排隊問問題，你就請他拿行李，顧行李，幫你買飲料等等，這些簡單又不複雜的事情。這樣的分配，他會很樂意幫忙。例如，你約會你先訂好餐廳飯店，預約好活動，他只要當你的司機，幫你找路，就是最舒服的相處方式。"
P,"🌹如何讓他更愛你？⬇️
 
 📍關鍵字：忍耐忍受、耐心包容、深研
 📍渴望的愛情：有人能欣賞他的想法，接受他的規矩，理解他的感受。他的想法總是規矩變來變去，難以捉摸，其實他也不知道自己的規則是什麼，所以一不小心就會惹他不爽。所以，他很需要一個理解他的人。而且他的想法特別的刁鑽，他需要一個能夠聽他分享他喜歡研究的樂趣。所以，欣賞他的人不多，如果你能夠支持他、欣賞他的話，他一定會很開心。
 
 📍如何做：不要為了想要贏他而跨越他內心的底線，也不要為了想要激怒他而一直試探他的底線，他會記仇的，他還會在某天他不爽的時候，用你不喜歡的方式去對付你。
 
 一：《嘗試了解他的興趣》從了解他的興趣開始去聊天，慢慢引導他講出更多這方面的想法，同時，也請表現出你的欣賞與贊同，適時的鼓勵跟讚賞，你一定會在他的異性朋友中突圍而出。
 
 二：《當一位聆聽者》在愛情裡面，他可能會比較重視自己的興趣多於愛情的煩碎雜事，所以要你想吸引他的注意，或是想要更多互動，請讓他表達他對興趣的各種想法，他會滔滔不絕，欲罷不能地跟你分享。
 
 三《用熱情融化他的心》雖然外表寡言、冷淡，有個性，但是其實他很吃熱情這一套，主動聊天，熱情對待，他也是會被融化的。"
比肩,"🌹如何讓他更愛你？⬇️
 💓伴侶是朋友，共同創造回憶。💓
 
 📍關鍵字：伴侶是朋友、慷慨大方、愛分享、共同進退、日久生情
 📍渴望的愛情：他喜歡的伴侶是可以跟他作好麻吉，陪伴彼此，一起共同挑戰新事物，一起創造回憶。所以，他可能喜歡的談情/約會方式，會是一群人去玩，從中跟你培養感情，也可以說是，喜歡《從朋友開始日久生情》。
 
 朋友的定義就是，會喜歡黏著去玩樂但又不會太黏非要跟你出去不可，彼此幫助又保留獨立空間。你跟他是平等的，朋友互相尊重包容扶持。所以，請你表現出《慷慨大方》《愛分享》《共同進退》的態度。
 
 📍如何做：上面提及過，他喜歡《朋友》的感覺，所以請不要一直製造二人世界。請記住，他沒辦法接受，生活只被愛人給綁住，所以他選擇的情人必須要有獨立的能力，他不喜歡麻煩的感覺，對他來說，愛是不等於糾纏。
 
 一：《獨立自主》如果你不夠獨立，每天都要黏在一起才有安全感，或是你享往朝夕相對的愛情故事。如果你不夠自信，常常因為他跟朋友出門而胡思亂想，或是 奪命追魂Call。你就會憑實力單身，憑實力分手💔 你們就會不斷吵架，無法解決問題，無法接受彼此的想法。BYEBYE
 
 二：《融入他的社交》他會從朋友聚會裡觀察你的一舉一動，他喜歡熱鬧中跟你建立曖昧關係，也喜歡在人群裡偷偷摸摸。如果，你是一個會跟他朋友主動聊天的人，絕對加分。如果，你很會做嫂子，朋友都誇獎你，朋友都說他交到好情人，他都會聽得進去，他喜歡從朋友的嘴巴中肯定你。所以，要討好你的對象，請先做好嫂子的本份。
 
 三：《讓他有面子》當他願意帶你給朋友認識，代表他覺得你能夠讓他有面子，他帶你出場是他的面子。如果，你讓他出糗，講他他不好，說他糗事，他會從此不想再讓你融入他的生活，你就等著被分手。如果，你能夠接納他的朋友圈，你會發現他會更懂得疼愛你。"
